theta_deg,c2X_position_mm,gap_position_mm,c2X_velocity_mm_per_deg,gap_velocity_mm_per_deg
5.000000000000000000e+00,1.147371324566985606e+02,1.003819837543347404e+01,-2.288914534707530279e+01,1.532797995835365884e-02
5.045045045045045029e+00,1.137153073728871249e+02,1.003889197506561004e+01,-2.248171540582261940e+01,1.546785171302968685e-02
5.090090090090090058e+00,1.127115910061929469e+02,1.003959187631226513e+01,-2.208505420564138433e+01,1.560777171709402250e-02
5.135135135135135087e+00,1.117255068136757927e+02,1.004029808135684831e+01,-2.169878555769427209e+01,1.574774041513793063e-02
5.180180180180180116e+00,1.107565948278220560e+02,1.004101059240280236e+01,-2.132254955775097471e+01,1.588775825212494081e-02
5.225225225225225145e+00,1.098044109420866050e+02,1.004172941167362154e+01,-2.095600174753303335e+01,1.602782567339437053e-02
5.270270270270270174e+00,1.088685262330737658e+02,1.004245454141286942e+01,-2.059881232601855316e+01,1.616794312466481379e-02
5.315315315315315203e+00,1.079485263171834220e+02,1.004318598388419304e+01,-2.025066540733425668e+01,1.630811105203762781e-02
5.360360360360360232e+00,1.070440107396952811e+02,1.004392374137134780e+01,-1.991125832211623603e+01,1.644832990200047543e-02
5.405405405405405261e+00,1.061545923943988754e+02,1.004466781617820814e+01,-1.958030095945360216e+01,1.658860012143082222e-02
5.450450450450450290e+00,1.052798969720023052e+02,1.004541821062878704e+01,-1.925751514674308140e+01,1.672892215759945456e-02
5.495495495495495319e+00,1.044195624356682401e+02,1.004617492706724846e+01,-1.894263406497891111e+01,1.686929645817401846e-02
5.540540540540540349e+00,1.035732385221338205e+02,1.004693796785793758e+01,-1.863540169718264750e+01,1.700972347122253758e-02
5.585585585585585378e+00,1.027405862669696148e+02,1.004770733538538963e+01,-1.833557230784364833e+01,1.715020364521697635e-02
5.630630630630630407e+00,1.019212775526263499e+02,1.004848303205435123e+01,-1.804290995139340481e+01,1.729073742903675104e-02
5.675675675675675436e+00,1.011149946780031854e+02,1.004926506028979460e+01,-1.775718800787785412e+01,1.743132527197229983e-02
5.720720720720720465e+00,1.003214299483512804e+02,1.005005342253694423e+01,-1.747818874412100953e+01,1.757196762372863555e-02
5.765765765765765494e+00,9.954028528440068158e+01,1.005084812126128568e+01,-1.720570289879317372e+01,1.771266493442890874e-02
